Время;мс;13045 Неисправность датчика цил. А6;Температура топлива;Температура масла;Температура выпускных газов А1;Температура выпускных газов А2;Температура выпускных газов А3;Температура выпускных газов А4;Температура выпускных газов А5;Температура выпускных газов А6;Температура выпускных газов А7;Температура выпускных газов А8;Температура выпускных газов В1;Температура выпускных газов В2;Температура выпускных газов В3;Температура выпускных газов В4;Температура выпускных газов В5;Температура выпускных газов В6;Температура выпускных газов В7;Температура выпускных газов В8
9:1:14;301;0;14,5235370412757;68,2017242694743;115,820553902495;121,091020065614;113,134966048676;113,705653467613;110,096894789044;109,576562142367;118,506141756313;118,170443274586;151,538872358282;140,679026474403;141,853971160449;141,216144045167;143,263904783703;139,285877775235;140,947585259785;136,348516060121;
9:1:15;299;0;14,540321965362;68,1681544213016;115,51842526894;120,839246204318;112,866407263294;113,453879606317;109,811551079576;109,341573205158;118,287937743191;117,918669413291;151,656366826886;140,796520943008;141,971465629053;141,300068665599;143,414969100481;139,487296864271;141,031509880217;136,449225604639;
9:1:16;301;0;14,540321965362;68,2017242694743;115,266651407645;120,654612039368;112,648203250172;113,202105745022;109,626916914626;109,073014419776;118,019378957809;117,734035248341;151,857785915923;140,880445563439;142,055390249485;141,367208361944;143,532463569085;139,571221484703;141,165789272908;136,58350499733;
9:1:17;299;0;14,6410315098802;68,1681544213016;115,082017242695;120,402838178073;112,362859540703;112,967116807813;109,358358129244;108,787670710307;117,851529716945;117,499046311131;151,992065308614;140,914015411612;142,156099794003;141,467917906462;143,582818341344;139,688715953307;141,283283741512;136,684214541848;
9:1:18;301;0;14,5906767376211;68,184939345388;114,880598153658;120,234988937209;112,178225375753;112,782482642863;109,156939040208;108,552681773098;117,683680476081;117,297627222095;152,176699473564;141,081864652476;142,290379186694;141,602197299153;143,767452506294;139,839780270085;141,501487754635;136,852063782712;
9:1:19;299;0;14,6074616617075;68,184939345388;114,628824292363;119,949645227741;111,926451514458;112,530708781567;108,905165178912;108,334477759976;117,431906614786;117,079423208972;152,327763790341;141,165789272908;142,407873655299;141,702906843671;143,901731898985;139,940489814603;141,635767147326;136,969558251316;
9:1:20;301;0;14,5738918135348;68,2017242694743;114,259555962463;119,647516594186;111,657892729076;112,228580148013;108,569466697185;108,032349126421;117,163347829404;116,743724727245;152,3781185626;141,232928969253;142,441443503471;141,719691767758;143,985656519417;139,940489814603;141,686121919585;137,003128099489;
9:1:21;301;0;14,5906767376211;68,184939345388;114,074921797513;119,44609750515;111,473258564126;112,043945983062;108,334477759976;107,830930037385;116,961928740368;116,592660410468;152,613107499809;141,38399328603;142,609292744335;141,837186236362;144,187075608454;140,125123979553;141,853971160449;137,170977340352;
9:1:22;301;0;14,6410315098802;68,1681544213016;113,806363012131;119,143968871595;111,238269626917;111,758602273594;108,065918974594;107,562371252003;116,693369954986;116,340886549172;152,7473868925;141,501487754635;142,72678721294;141,921110856794;144,338139925231;140,27618829633;141,98825055314;137,288471808957;
9:1:23;300;0;14,5906767376211;68,1681544213016;113,521019302663;118,858625162127;110,936140993362;111,439688715953;107,747005416953;107,243457694362;116,408026245518;116,038757915618;152,848096437018;141,484702830549;142,743572137026;141,921110856794;144,304570077058;140,309758144503;142,038605325399;137,355611505303;
9:1:24;299;0;14,6242465857939;68,1177996490425;113,319600213626;118,70756084535;110,734721904326;111,221484702831;107,595941100175;107,142748149844;116,240177004654;115,854123750668;153,015945677882;141,585412375067;142,894636453803;142,105745021744;144,405279621576;140,46082246128;142,206454566262;137,557030594339;
9:1:25;302;0;14,6242465857939;68,1177996490425;113,051041428244;118,506141756313;110,550087739376;110,936140993362;107,360952162966;106,941329060807;116,055542839704;115,585564965286;153,015945677882;141,669336995499;142,961776150149;142,139314869917;144,489204242008;140,477607385367;142,223239490349;137,674525062943;
9:1:26;301;0;14,6578164339666;68,1345845731289;112,681773098344;118,170443274586;110,29831387808;110,617227435721;107,109178301671;106,60563057908;115,719844357977;115,33379110399;153,150225070573;141,75326161593;143,045700770581;142,105745021744;144,657053482872;140,561532005798;142,30716411078;137,657740138857;
9:1:27;301;0;14,6074616617075;68,1010147249561;112,547493705653;118,002594033722;110,11367971313;110,48294804303;106,924544136721;106,488136110475;115,585564965286;115,233081559472;153,318074311437;141,853971160449;143,179980163272;142,256809338521;144,774547951476;140,662241550317;142,475013351644;137,859159227893;
9:1:28;300;0;14,6410315098802;68,0842298008698;112,346074616617;117,801174944686;109,861905851835;110,231174181735;106,689555199512;106,23636224918;115,33379110399;115,014877546349;153,469138628214;141,971465629053;143,263904783703;142,323949034867;144,925612268254;140,813305867094;142,575722896162;137,959868772412;
9:1:29;301;0;14,6913862821393;68,0674448767834;112,178225375753;117,515831235218;109,626916914626;110,063324940871;106,42099641413;106,068513008316;115,132372014954;114,746318760967;153,536278324559;141,954680704967;143,297474631876;142,340733958953;144,892042420081;140,83009079118;142,642862592508;137,959868772412;
9:1:30;301;0;14,6746013580529;68,0674448767834;112,043945983062;117,398336766613;109,509422446021;109,895475700008;106,269932097353;106,001373311971;115,014877546349;114,578469520104;153,704127565423;142,055390249485;143,431754024567;142,491798275731;145,009536888685;140,947585259785;142,793926909285;138,144502937362;
9:1:31;299;0;14,7081712062257;68,0674448767834;111,808957045853;117,163347829404;109,224078736553;109,593347066453;106,05172808423;105,799954222934;114,746318760967;114,276340886549;153,737697413596;142,038605325399;143,431754024567;142,508583199817;144,992751964599;140,930800335698;142,777141985199;138,194857709621;
